t,lateral_acc_mag,jerk_mag,risk_rate,torque_norm
2.4120,22.758089,23798.811926,47588.994480,124.9957
2.4140,22.956135,41007.783585,38609.607216,125.0278
2.4160,19.345806,41767.043242,42316.947069,127.7912
2.4180,5.994011,10672.359143,21211.793481,18.6903
2.4200,39.699042,20240.785181,40505.228802,174.9026
2.4220,23.115216,49139.375016,62709.767881,57.1739
2.4240,19.400537,41784.656137,42541.256319,174.9000
2.4260,23.190019,41786.992817,42626.804960,90.4195
2.4280,26.377646,42270.384289,41191.012327,164.9737
2.4300,19.552766,42630.114751,42172.438975,93.7597
2.4320,29.845262,42665.086225,45164.688602,128.7689
2.4340,19.387269,42722.254470,44941.131840,155.9117
2.4360,16.113181,40653.204283,35461.882785,124.7333
2.4380,3.961400,6619.914317,13185.198946,151.7863
2.4400,22.268841,39045.883759,26084.822007,134.1221
2.4420,18.657641,41212.578502,40932.867875,143.0050
2.4440,22.341079,41210.244183,41022.783459,136.2652
2.4460,18.725930,41239.223220,41067.053483,144.2890
2.4480,3.165715,9390.022551,18566.310483,106.8520
2.4500,4.082482,2878.578864,5701.838128,139.7532
2.4520,42.747441,45143.897399,46588.204382,142.7723
2.4540,29.003885,50065.647917,65456.941905,62.7661
2.4560,21.970175,43084.556707,46955.714884,169.1662
2.4580,18.804406,41432.541418,40764.717279,50.2276
2.4600,3.056174,9153.984972,18174.217442,130.2845
2.4620,27.735709,41052.219299,30628.105847,124.6386
2.4640,31.502493,41596.416406,37422.364826,93.7208
2.4660,5.735219,18019.768373,36006.299818,126.8288
2.4680,29.445131,41652.685618,34437.402759,152.0186
2.4700,28.462227,47516.873695,57865.892462,125.7348
2.4720,22.976132,23922.990416,47857.887957,90.7950
2.4740,27.032317,42058.539863,47071.890540,144.5000
2.4760,29.729800,41057.593020,46773.535359,147.6423
2.4780,22.906426,43368.007503,50243.508466,152.8469
2.4800,19.407669,41918.883819,42316.230091,131.3672
2.4820,34.590062,44383.298511,51274.103799,98.0604
2.4840,19.559991,44312.372175,51345.240992,151.6417
2.4860,23.190569,41759.525425,42770.317068,98.1913
2.4880,19.605918,41791.850699,42789.003327,153.4091
2.4900,6.132811,10741.773742,21337.075412,91.1948
2.4920,19.447497,39048.711645,22192.645533,158.0117
2.4940,16.650968,40606.315800,36006.178448,89.0683
2.4960,6.074246,7773.465121,15472.615042,144.0573
2.4980,23.346595,39629.695696,28688.537902,106.4005
2.5000,19.695348,41856.752494,43048.786870,141.6479
2.5020,5.967565,10811.854349,21478.883470,64.2758
2.5040,32.866111,41800.949373,38007.284515,143.4219
2.5060,16.734490,43264.299886,47950.873578,139.2672
2.5080,6.154081,7981.697510,15809.459195,101.0161
2.5100,23.205732,39848.863486,28460.015484,173.1136
2.5120,19.526470,41987.349218,42749.533369,98.3032
2.5140,5.777605,10547.415316,21002.452488,128.9342
2.5160,39.988631,44221.704218,41810.596445,151.6554
2.5180,17.066720,47367.797187,56772.006031,128.6865
2.5200,6.168716,8027.111623,15902.970102,99.4670
2.5220,34.442956,42424.416227,40650.924383,125.1722
2.5240,19.806342,44275.613715,51480.568156,124.8378
2.5260,23.148026,41767.408130,42981.631328,124.9432
2.5280,19.853260,41803.341274,43004.009751,128.3949
2.5300,5.850749,10744.598984,21335.595464,18.9679
2.5320,45.171385,20858.025193,41742.100762,152.3143
2.5340,19.529932,49534.050373,63128.930607,135.3332
2.5360,16.497498,40687.833644,35988.966611,152.0794
2.5380,19.510025,40670.033350,35985.174590,152.1713
2.5400,16.486046,40687.466994,35951.159220,139.9232
2.5420,19.487646,40668.717963,35947.537479,154.5299
2.5440,16.469552,40683.610134,35905.821416,127.8281
2.5460,19.462694,40663.923581,35902.243341,156.0331
2.5480,16.447917,40676.307771,35852.707222,124.4833
2.5500,4.312655,6655.039865,13250.677004,152.3466
2.5520,22.467925,39105.619862,26639.271058,133.3279
2.5540,19.990040,41610.898684,42425.731927,144.1255
2.5560,5.848590,10901.158886,21660.139400,117.4658
2.5580,31.105601,41443.009530,35963.002174,110.1807
2.5600,16.531267,42733.185308,45392.915834,139.8989
2.5620,6.408362,7299.268968,14448.780546,73.3516
2.5640,23.366963,39935.138902,28875.009117,168.3732
2.5660,19.784300,42101.141509,43167.467354,52.7088
2.5680,23.363584,42074.385113,43180.074676,171.3230
2.5700,19.782156,42079.809895,43155.536846,56.2767
2.5720,5.706970,10609.707056,21127.638322,129.5245
2.5740,6.276352,5484.570593,10975.034185,54.6016
2.5760,23.398996,39857.302868,28733.454961,174.8313
2.5780,19.698306,42011.140331,43126.439443,25.1787
2.5800,23.416933,41985.391926,43155.162624,174.7762
2.5820,19.719392,41992.714195,43158.797592,33.6709
2.5840,25.877489,19393.233346,38644.452483,128.7299
2.5860,23.435941,36568.938053,26671.743310,125.3220
2.5880,31.822565,44315.792474,51998.838110,89.4067
2.5900,37.252902,18379.415232,36634.162121,174.8263
2.5920,29.665447,49720.475662,62758.986810,107.5984
2.5940,28.719681,47512.456706,58341.946190,174.8325
2.5960,29.690852,47511.468949,58345.608582,121.4962
2.5980,28.734940,47541.980266,58379.517954,161.2697
2.6000,29.715934,47540.454419,58384.674709,121.0261
2.6020,48.071228,53675.447666,76741.945089,93.5308
2.6040,29.448922,53681.422690,76448.896282,155.0235
2.6060,28.707266,47721.919725,58062.935904,91.6423
2.6080,23.142324,23976.842640,47952.239684,150.7626
2.6100,33.335570,44534.128279,54386.909225,100.8211
2.6120,30.177253,46648.778561,63533.550565,145.4515
2.6140,21.308157,24126.537841,47892.553042,79.0759
2.6160,34.622894,39911.799502,23399.419647,137.4786
2.6180,20.072748,44316.002623,51934.277662,139.4215
2.6200,5.959049,10841.010667,21520.352020,108.7110
2.6220,19.726853,39039.940859,22549.548070,169.5040
2.6240,16.932736,40622.401914,36592.188916,103.2762
2.6260,6.440037,7819.556343,15551.874838,135.0926
2.6280,23.765123,39706.173629,29469.730240,151.3089
2.6300,20.186289,41974.453211,43970.274231,129.2643
