t,lat_acc,jerk,lat_jerk,risk_rate
4.4780,0.941167,18250.696422,5651.301133,10173.283206
4.4800,1.105772,19077.862112,15269.023804,27485.348619
4.4820,0.934177,19092.274844,15292.204406,27526.902107
4.4840,1.003065,18275.322116,5696.525882,10254.749652
4.4860,1.032178,12646.586116,11842.719219,21317.926773
4.4880,1.032331,21367.480656,16583.633318,29851.572304
4.4900,0.807292,19448.150716,6164.578903,11097.049317
4.4920,0.891441,5414.313266,5398.351658,9717.924426
4.4940,0.898738,24330.000539,1963.209553,3534.675933
4.4960,0.926324,23678.833505,4339.269430,7811.611299
4.4980,0.916334,18256.817580,5764.326331,10376.703729
4.5000,0.979222,19114.280049,15357.052553,27643.673817
4.5020,0.809613,11405.082926,8623.297117,15522.744423
4.5040,0.990848,22815.719148,10279.427191,18503.959791
4.5060,0.807506,24423.275467,19765.762368,35579.179769
4.5080,0.876575,24436.305639,19783.631132,35611.412613
4.5100,0.901729,24112.673325,19324.735542,34785.425705
4.5120,0.885676,12589.247837,11792.184155,21226.817154
4.5140,0.692707,18255.601797,5853.951655,10537.805685
4.5160,0.975379,19140.769508,15424.141746,27764.430521
4.5180,0.716778,19157.209436,15449.070647,27809.043942
4.5200,0.823733,17779.770707,9477.627187,17060.552670
4.5220,0.649065,5440.516139,3896.102570,7013.633690
4.5240,0.861853,21031.764601,8080.537434,14545.829234
4.5260,0.732333,18742.947666,13982.160367,25168.620994
4.5280,0.869358,18756.117240,13999.364216,25199.724947
4.5300,0.819388,18749.125457,13991.769869,25186.005153
4.5320,0.967767,9176.468132,6636.949774,11947.477359
4.5340,0.696568,20252.755991,8830.981900,15896.463988
4.5360,1.057129,19181.531132,15517.598038,27932.733598
4.5380,0.735357,19199.858950,15544.429309,27980.708113
4.5400,1.141601,19189.807700,15539.551331,27972.333996
4.5420,1.013811,11589.526659,8785.299163,15814.552305
4.5440,0.842171,22898.614140,10418.184272,18753.573861
4.5460,1.104826,24136.330960,19369.857684,34866.848657
4.5480,0.885530,24152.142118,19390.908155,34904.520209
4.5500,0.694841,22936.890998,10455.536527,18820.660590
4.5520,0.757868,4193.992179,3881.424856,6987.322608
4.5540,0.597185,24101.738656,5796.858040,10434.941657
4.5560,0.820916,24840.434547,7914.193523,14246.369257
4.5580,0.468248,8914.236629,8821.308745,15878.823988
4.5600,0.866267,22782.631478,12370.741790,22268.201489
4.5620,0.579351,20870.968872,16968.264663,30543.455744
4.5640,0.380515,18510.486435,13511.030030,24320.234569
4.5660,0.541786,18502.212358,13494.327418,24290.331138
4.5680,0.726079,12533.634282,10634.538205,19142.894849
4.5700,0.102702,21545.044620,11121.659208,20019.089276
4.5720,0.848283,20370.084298,16841.416583,30315.398132
4.5740,0.220475,20393.982615,16876.346182,30377.643603
4.5760,0.459154,19687.253352,9022.547131,16241.043990
4.5780,0.894655,15147.266298,14383.743655,25891.633234
4.5800,0.526727,22267.834587,17889.165721,32201.025025
4.5820,0.236551,19701.074890,6744.311795,12139.997781
4.5840,0.431387,5986.131222,5979.180670,10762.956593
4.5860,0.367454,25341.529081,3178.557324,5721.770638
4.5880,0.558435,25339.004661,3184.588230,5732.817249
4.5900,0.456409,22554.246286,12058.235754,21705.280767
4.5920,0.672439,24772.242038,21174.033299,38113.932378
4.5940,0.378442,15329.811536,14140.766570,25453.758268
4.5960,0.488729,19720.094651,6846.600542,12324.369704
4.5980,0.517523,18863.196738,14191.860707,25545.866795
4.6000,0.534033,18879.780302,14213.437924,25584.722296
4.6020,0.645300,18871.685993,14203.261689,25566.516339
4.6040,0.598184,17818.592779,13771.235385,24788.821877
4.6060,0.789101,17810.188203,13764.767359,24777.370346
4.6080,0.967043,9285.513265,6794.023949,12230.210151
4.6100,0.489635,20333.483016,9351.480797,16833.155069
4.6120,0.570436,18333.752874,6570.501490,11827.473117
4.6140,1.013134,12575.011831,11757.911461,21165.253762
4.6160,1.248975,25164.652966,22201.888990,39964.649157
4.6180,0.426221,27436.031658,22729.385234,40913.319642
4.6200,0.545949,12715.641432,12374.609417,22274.842899
4.6220,0.737609,20710.841448,6111.452688,11001.352447
4.6240,0.657380,18726.271497,14052.767586,25295.639036
4.6260,0.765216,18743.409646,14076.368165,25338.227913
4.6280,0.766294,18735.078502,14068.251970,25323.619841
4.6300,0.808773,18753.758267,14093.509239,25369.125403
4.6320,0.869452,18744.722998,14086.945403,25357.371178
4.6340,1.048143,9105.555528,6520.805419,11738.497897
4.6360,0.632187,22592.806997,12299.512571,22139.754815
4.6380,1.153058,25295.651639,21811.441259,39261.747323
4.6400,0.670632,25320.852966,21847.044612,39325.350933
4.6420,0.807985,22633.238616,12357.558742,22244.413721
4.6440,0.960946,9173.384686,6574.702150,11835.424815
4.6460,0.876400,18788.285360,14161.593290,25491.744322
4.6480,0.606538,19740.574100,6824.056345,12283.907958
4.6500,0.764661,6138.306308,6134.945429,11043.666434
4.6520,0.722407,20358.808756,9577.044732,17239.402925
4.6540,0.613921,22998.815663,20812.147770,37462.479907
4.6560,0.080948,24948.343694,22614.612297,40706.383081
4.6580,0.641434,19005.053605,14452.723043,26015.542912
4.6600,0.730981,9435.480954,6980.851554,12566.263778
4.6620,0.204777,20419.766262,9799.116515,17638.614503
4.6640,0.820484,19529.386991,16294.335620,29330.624600
4.6660,0.218388,19555.333029,16331.662633,29397.211127
4.6680,0.176635,18397.651343,7106.087746,12791.134578
4.6700,0.959197,12603.300778,11773.728813,21193.671060
